experiment,sequence,rep,IDX,t_compress,t_decompress
Main,soldier,0,0,1.2165465354919434,1.3720543384552002
Main,soldier,1,0,1.1755874156951904,1.4341435432434082
Main,soldier,2,0,1.218339443206787,1.3950917720794678
Main,soldier,3,0,1.201087474822998,1.4372057914733887
Main,soldier,4,0,1.231811761856079,1.4057514667510986
Main,soldier,5,0,1.2130866050720215,1.4088892936706543
Main,soldier,6,0,1.2686140537261963,1.4064271450042725
Main,soldier,7,0,1.2375726699829102,1.4159998893737793
Main,soldier,8,0,1.233018398284912,1.407419204711914
Main,soldier,9,0,1.2459027767181396,1.3831102848052979
Main,soldier,10,0,1.2087993621826172,1.405829668045044
Main,soldier,11,0,1.2281203269958496,1.392376184463501
Main,soldier,12,0,1.2663850784301758,1.4123568534851074
Main,soldier,13,0,1.212751865386963,1.4128775596618652
Main,soldier,14,0,1.2457339763641357,1.4081707000732422
Main,soldier,15,0,1.2396862506866455,1.4298875331878662
Main,soldier,16,0,1.2294354438781738,1.4074437618255615
Main,soldier,17,0,1.2035443782806396,1.4142954349517822
Main,soldier,18,0,1.200777530670166,1.4066920280456543
Main,soldier,19,0,1.2323505878448486,1.404308795928955
Main,soldier,20,0,1.2368073463439941,1.3973793983459473
Main,soldier,21,0,1.192450761795044,1.399277925491333
Main,soldier,22,0,1.1897485256195068,1.4103145599365234
Main,soldier,23,0,1.2188560962677002,1.4031453132629395
Main,soldier,24,0,1.2202625274658203,1.4047088623046875
Main,soldier,25,0,1.1980006694793701,1.4017601013183594
Main,soldier,26,0,1.1998977661132812,1.4169304370880127
Main,soldier,27,0,1.1984167098999023,1.3863372802734375
Main,soldier,28,0,1.1989660263061523,1.4231841564178467
Main,soldier,29,0,1.2424805164337158,1.4068686962127686
Main,soldier,0,1,2.4877851009368896,0.43393874168395996
Main,soldier,1,1,2.488062620162964,0.4286172389984131
Main,soldier,2,1,2.499706983566284,0.41659116744995117
Main,soldier,3,1,2.4530014991760254,0.42073583602905273
Main,soldier,4,1,2.4249656200408936,0.4220402240753174
Main,soldier,5,1,2.5291006565093994,0.41594862937927246
Main,soldier,6,1,2.46219801902771,0.4311637878417969
Main,soldier,7,1,2.4847652912139893,0.4140632152557373
Main,soldier,8,1,2.498347520828247,0.42234373092651367
Main,soldier,9,1,2.461951732635498,0.4352538585662842
Main,soldier,10,1,2.477949619293213,0.42877864837646484
Main,soldier,11,1,2.4341232776641846,0.4157752990722656
Main,soldier,12,1,2.459381341934204,0.42812585830688477
Main,soldier,13,1,2.5124013423919678,0.41527867317199707
Main,soldier,14,1,2.4442927837371826,0.4265248775482178
Main,soldier,15,1,2.4651479721069336,0.42069411277770996
Main,soldier,16,1,2.4735403060913086,0.42941951751708984
Main,soldier,17,1,2.4787163734436035,0.4169168472290039
Main,soldier,18,1,2.428523302078247,0.4203174114227295
Main,soldier,19,1,2.4634642601013184,0.4222867488861084
