metric,pointCloud,method,BD-PSNR,BD-Rate
pcqm,longdress,G-PCC,0.0008749484565248722,-17.706749594849992
pcqm,longdress,V-PCC,-0.0011147115937420306,72.00476354128517
pcqm,longdress,IT-DL-PCC,0.0017166071438254335,-31.25658561792095
pcqm,longdress,DeepPCC,-0.0022491871583175792,67.13460413529148
pcqm,longdress,YOGA,-0.0017004679715218135,25.506611003278913
pcqm,soldier,G-PCC,0.0021464553488362657,-35.41275584815312
pcqm,soldier,V-PCC,-0.00037533535964471367,33.66277829488751
pcqm,soldier,IT-DL-PCC,0.0013543826486628612,-31.386735974205273
pcqm,soldier,DeepPCC,-0.0007815825820717133,21.28434558529497
pcqm,soldier,YOGA,-0.0007513847585785321,8.603862990684629
pcqm,loot,G-PCC,0.003116085791408016,-42.607388356622835
pcqm,loot,V-PCC,-0.001303204233873139,54.63085012197975
pcqm,loot,IT-DL-PCC,0.002492816205234753,-48.191506926010085
pcqm,loot,DeepPCC,0.0009587918758849037,-17.96512398873701
pcqm,loot,YOGA,0.00012900657434632192,-8.229054270686664
pcqm,redandblack,G-PCC,0.0014045397653656686,-25.177200228237318
pcqm,redandblack,V-PCC,-0.001881049043343689,67.61296307448228
pcqm,redandblack,IT-DL-PCC,0.0007577850970637694,-18.02829552210461
pcqm,redandblack,DeepPCC,-0.0017542228592741576,37.841378424901336
pcqm,redandblack,YOGA,-0.002163822805694347,32.59432172883399
sym_y_psnr,longdress,G-PCC,0.37133421015093265,-13.809727944690298
sym_y_psnr,longdress,V-PCC,-4.514970309028218,169.04509251871258
sym_y_psnr,longdress,IT-DL-PCC,1.5321624488542802,-36.162494260426236
sym_y_psnr,longdress,DeepPCC,-0.3520997772805671,37.90320694473088
sym_y_psnr,longdress,YOGA,-1.343611503701287,48.31018806821379
sym_y_psnr,soldier,G-PCC,1.2964491455781508,-27.81895637981998
sym_y_psnr,soldier,V-PCC,-3.586372678236849,131.19186794115495
sym_y_psnr,soldier,IT-DL-PCC,1.42756552738745,-31.756273492263134
sym_y_psnr,soldier,DeepPCC,0.6322779343563024,-5.613325735298613
sym_y_psnr,soldier,YOGA,-1.1962476329885237,35.5327023730017
sym_y_psnr,loot,G-PCC,1.4890172106809518,-37.732005190165395
sym_y_psnr,loot,V-PCC,-3.541909816024341,145.6244160816774
sym_y_psnr,loot,IT-DL-PCC,1.817527458805854,-50.38335891314083
sym_y_psnr,loot,DeepPCC,1.2678776262172933,-37.843310196480786
sym_y_psnr,loot,YOGA,-0.12876972798034902,23.691660758390597
sym_y_psnr,redandblack,G-PCC,-0.017094085645766855,-7.357429682380767
sym_y_psnr,redandblack,V-PCC,-4.32145780381578,229.74866105419642
sym_y_psnr,redandblack,IT-DL-PCC,0.8929293820405627,-29.976151106817007
sym_y_psnr,redandblack,DeepPCC,-0.7245721051552554,41.64041552672473
sym_y_psnr,redandblack,YOGA,-1.7475921284502733,20.127522045030588
sym_p2p_psnr,longdress,G-PCC,4.473191917037932,-42.732187959593794
sym_p2p_psnr,longdress,V-PCC,1.467828284510788,-14.230678324786506
sym_p2p_psnr,longdress,IT-DL-PCC,-0.5531439885836906,13.884835420557007
sym_p2p_psnr,longdress,DeepPCC,-5.831411626706359,143.18125187573742
sym_p2p_psnr,longdress,YOGA,-4.862938291066298,153.27148130437166
sym_p2p_psnr,soldier,G-PCC,5.4350608644385705,-94.07242019900275
sym_p2p_psnr,soldier,V-PCC,1.822474656194921,-86.9425327788436
sym_p2p_psnr,soldier,IT-DL-PCC,-0.061453415839571444,-68.04329277110973
sym_p2p_psnr,soldier,DeepPCC,-3.8023607069369363,-6.507624732426787
sym_p2p_psnr,soldier,YOGA,-1.642511612585869,-64.96526313060262
sym_p2p_psnr,loot,G-PCC,3.8991689078893024,-49.170780217973885
sym_p2p_psnr,loot,V-PCC,-1.5334403403454189,9.852728328754988
sym_p2p_psnr,loot,IT-DL-PCC,1.4361856304740255,-17.969448620412408
sym_p2p_psnr,loot,DeepPCC,-6.473958380247874,112.13613633247456
sym_p2p_psnr,loot,YOGA,-6.328837881170579,74.73111802223833
sym_p2p_psnr,redandblack,G-PCC,4.493058835723411,-56.78325675393958
sym_p2p_psnr,redandblack,V-PCC,0.10735517740322198,0.8022228712904811
sym_p2p_psnr,redandblack,IT-DL-PCC,-0.19133818940284156,6.116338101441721
sym_p2p_psnr,redandblack,DeepPCC,-4.530292529973405,130.33957026250258
sym_p2p_psnr,redandblack,YOGA,-2.9534691444110623,57.63337672885351
sym_d2_psnr,longdress,G-PCC,3.041106107962288,-35.147853574932476
sym_d2_psnr,longdress,V-PCC,2.5547179557923227,-36.90230235918277
sym_d2_psnr,longdress,IT-DL-PCC,0.3097949419192677,-3.491982366337243
sym_d2_psnr,longdress,DeepPCC,-6.390628172497235,106.50442742985429
sym_d2_psnr,longdress,YOGA,-4.574955927886372,137.637077479056
